date,Count
2020-04-22,2
2020-04-23,2
2020-04-24,4
2020-04-25,1
2020-04-26,3
2020-04-27,1
2020-04-28,6
2020-04-29,6
2020-05-02,1
2020-05-03,3
2020-05-04,8
2020-05-05,4
2020-05-06,2
2020-05-07,9
2020-05-10,2
2020-05-11,2
2020-05-12,6
2020-05-13,8
2020-05-14,7
2020-05-15,7
2020-05-16,1
2020-05-17,4
2020-05-18,3
2020-05-19,4
2020-05-20,3
2020-05-21,4
2020-05-22,4
2020-05-23,3
2020-05-24,1
2020-05-25,1
2020-05-26,4
2020-05-27,4
2020-05-28,3
2020-05-29,2
2020-05-31,1
2020-06-01,4
2020-06-03,3
2020-06-04,4
2020-06-05,2
2020-06-06,2
2020-06-09,2
2020-06-10,6
2020-06-11,8
2020-06-12,7
2020-06-13,4
2020-06-14,1
2020-06-15,4
2020-06-16,6
2020-06-17,2
2020-06-19,3
2020-06-20,1
2020-06-21,2
2020-06-22,3
2020-06-24,5
2020-06-25,10
2020-06-26,1
2020-06-27,7
2020-06-28,2
2020-06-29,7
2020-06-30,4
2020-07-01,1
2020-07-02,1
2020-07-03,2
2020-07-04,1
2020-07-05,2
2020-07-06,2
2020-07-07,6
2020-07-08,3
2020-07-09,16
2020-07-10,5
2020-07-11,2
2020-07-12,1
2020-07-13,5
2020-07-14,6
2020-07-15,3
2020-07-16,8
2020-07-17,5
2020-07-20,2
2020-07-21,1
2020-07-22,6
2020-07-23,14
2020-07-24,6
2020-07-25,2
2020-07-26,2
2020-07-27,16
2020-07-28,16
2020-07-29,8
2020-07-30,12
2020-07-31,4
2020-08-03,10
2020-08-04,20
2020-08-05,6
2020-08-06,4
2020-08-07,4
2020-08-08,4
2020-08-09,4
2020-08-10,6
2020-08-11,8
2020-08-12,10
2020-08-13,12
2020-08-14,8
2020-08-15,4
2020-08-16,2
2020-08-17,14
