date,Count
2020-03-29,1
2020-03-30,3
2020-03-31,7
2020-04-01,7
2020-04-02,4
2020-04-03,4
2020-04-04,3
2020-04-05,3
2020-04-06,1
2020-04-07,1
2020-04-09,3
2020-04-10,4
2020-04-11,6
2020-04-12,1
2020-04-13,5
2020-04-14,5
2020-04-15,2
2020-04-17,3
2020-04-18,1
2020-04-19,4
2020-04-20,2
2020-04-21,3
2020-04-22,5
2020-04-23,4
2020-04-24,2
2020-04-25,5
2020-04-28,2
2020-04-29,1
2020-04-30,2
2020-05-01,1
2020-05-02,1
2020-05-03,2
2020-05-04,1
2020-05-05,3
2020-05-06,1
2020-05-07,2
2020-05-08,1
2020-05-09,1
2020-05-10,1
2020-05-11,1
2020-05-12,5
2020-05-13,1
2020-05-14,3
2020-05-15,2
2020-05-16,2
2020-05-18,2
2020-05-19,7
2020-05-20,5
2020-05-21,6
2020-05-22,11
2020-05-23,2
2020-05-25,1
2020-05-26,7
2020-05-27,4
2020-05-28,7
2020-05-29,10
2020-05-30,4
2020-06-01,4
2020-06-02,6
2020-06-03,2
2020-06-04,2
2020-06-06,1
2020-06-08,6
2020-06-09,4
2020-06-10,2
2020-06-11,3
2020-06-12,1
2020-06-13,2
2020-06-14,4
2020-06-15,1
2020-06-16,5
2020-06-17,3
2020-06-18,2
2020-06-19,3
2020-06-20,1
2020-06-22,9
2020-06-23,3
2020-06-24,2
2020-06-25,4
2020-06-26,4
2020-06-27,2
2020-06-28,8
2020-06-29,2
2020-07-01,1
2020-07-02,2
2020-07-03,1
2020-07-04,1
2020-07-05,1
2020-07-06,3
2020-07-08,7
2020-07-09,12
2020-07-10,2
2020-07-11,4
2020-07-12,6
2020-07-13,4
2020-07-15,6
2020-07-16,8
2020-07-17,10
2020-07-18,4
2020-07-20,4
2020-07-21,2
2020-07-22,2
2020-07-23,8
2020-07-24,12
2020-07-25,14
2020-07-26,2
2020-07-27,4
2020-07-28,24
2020-07-29,8
2020-07-30,4
2020-08-01,2
2020-08-02,2
2020-08-03,4
2020-08-04,10
2020-08-05,6
2020-08-06,8
2020-08-07,4
2020-08-08,2
2020-08-10,8
2020-08-11,4
2020-08-12,8
2020-08-13,2
2020-08-14,4
2020-08-15,2
2020-08-16,2
2020-08-17,2
