date,Count
2019-02-06,1
2019-02-12,3
2019-02-15,2
2019-02-19,2
2019-02-20,1
2019-02-21,1
2019-02-27,1
2019-03-01,1
2019-04-07,1
2019-04-20,1
2019-05-09,1
2019-05-13,1
2019-05-22,2
2019-05-26,1
2019-05-27,1
2019-05-31,2
2019-06-03,1
2019-06-04,1
2019-06-06,1
2019-06-13,1
2019-06-16,1
2019-06-19,1
2019-06-28,1
2019-07-09,1
2019-07-30,1
2019-07-31,1
2019-08-02,1
2019-08-07,3
2019-08-08,1
2019-08-09,1
2019-08-12,2
2019-08-13,1
2019-08-20,2
2019-08-23,1
2019-08-30,3
2019-09-03,1
2019-09-05,1
2019-09-08,1
2019-09-09,1
2019-09-15,1
2019-09-19,1
2019-09-20,2
2019-09-23,1
2019-09-24,1
2019-09-25,1
2019-10-02,1
2019-10-03,6
2019-10-07,6
2019-10-10,2
2019-10-14,2
2019-10-16,2
2019-10-18,4
2019-10-21,2
2019-10-22,2
2019-10-28,2
2019-10-31,2
2019-11-01,2
2019-11-03,2
2019-11-06,2
2019-11-11,2
2019-11-14,4
2019-11-17,4
2019-11-18,2
2019-11-25,2
2019-11-27,6
2019-12-02,2
2019-12-08,2
2019-12-09,2
2019-12-11,2
2019-12-12,2
2019-12-15,4
2019-12-18,2
2019-12-19,4
2019-12-20,2
2020-01-02,2
2020-01-03,4
2020-01-22,2
2020-01-29,2
2020-01-30,4
2020-01-31,4
2020-03-02,2
2020-03-05,2
2020-03-12,2
2020-03-20,2
2020-04-03,2
2020-04-15,2
2020-04-20,2
2020-04-25,2
2020-04-28,2
2020-05-04,2
2020-05-05,2
2020-05-09,2
2020-05-29,2
2020-06-01,8
2020-06-03,2
2020-06-09,4
2020-06-10,4
2020-06-11,2
2020-06-12,2
2020-06-16,6
2020-06-17,2
2020-06-18,4
2020-06-23,2
2020-06-25,4
2020-06-29,2
2020-07-02,2
2020-07-07,2
2020-07-08,2
2020-07-11,4
2020-07-14,2
2020-07-15,2
2020-07-16,2
2020-07-21,6
2020-07-24,4
2020-07-29,2
2020-07-30,2
2020-08-03,2
2020-08-07,2
2020-08-12,2
