created_at,updated_at,closed_at,title,repository_url,number
20200812,20200812,20200812,Update random_forest_guided_example.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,159
20200807,20200810,20200810,Update model_prep_feature_engineering_2.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,158
20200803,20200804,20200804,Closes Thinkful-Ed/data-science#1408,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,157
20200730,20200730,20200730,Fix issue,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,156
20200729,20200729,20200729,Update 6.1.1 Intro to Time.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,155
20200724,20200727,20200727,Closes Thinkful-Ed/data-science#1369,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,154
20200724,20200807,20200805,Copyedit 0709,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,153
20200721,20200721,20200721,Update working_with_dictionaries.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,152
20200721,20200721,20200721,Update working_with_dictionaries.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,151
20200721,20200721,20200721,fixed conditional logic,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,150
20200716,20200716,20200716,Update model_prep_data_cleaning_variable_types.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,149
20200715,20200715,NaT,Update libraries,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,148
20200714,20200716,20200716,Update t_test_checkpoint_experimental_design_pima_demo.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,147
20200711,20200713,20200713,User issue 946,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,146
20200711,20200713,20200713,fixed execution error,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,145
20200708,20200708,20200708,Update checkpoint_4_beyond_a_b_testing.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,144
20200707,20200708,20200708,Update 8.text_generation.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,143
20200702,20200702,20200702,kick tires,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,142
20200629,20200706,20200706,Kfarbman maintenance20200629,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,141
20200625,20200629,20200629,Closes Thinkful-Ed/data-science#1294,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,140
20200625,20200706,20200706,deleted assign nb to transition to auto-assessments,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,139
20200623,20200629,20200629,added a multiclass dummies example,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,138
20200618,20200618,20200618,fix loading error,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,137
20200618,20200619,20200619,Update 5.2.2 Basic scraping with scrapy.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,136
20200617,20200619,20200619,Closes Thinkful-Ed/data-science#1261,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,135
20200616,20200619,20200619,updated both nb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,134
20200616,20200616,20200616,"Revert ""updated SQL and intro pandas""",https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,133
20200616,20200616,20200616,"Revert ""updated SQL and intro pandas""",https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,132
20200612,20200615,20200615,Update checkpoint Beyond AB Test,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,131
20200611,20200615,20200615,Clearing up theta explanation,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,130
20200610,20200615,20200615,Kfarbman maintenance 20200610,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,129
20200610,20200615,20200615,Notifying about more details for PCA,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,128
20200609,20200615,20200615,updated model prep outliers notebook,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,127
20200609,20200629,20200629,updated jupyters for python intro and mods for da,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,126
20200603,20200615,20200615,Adding some more context when using get_dummies,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,125
20200601,20200615,20200615,Adding cross validation explanation,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,124
20200601,20200601,20200601,[Standard deviation/Variance] User-submitted feedback for DSBC-PYTHON…,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,123
20200601,20200615,20200615,Updating KNN regression notebook,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,122
20200601,20200603,20200603,Kfarbman maintenance 20200601,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,121
20200529,20200601,20200601,Adding description for I in ARIMA,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,120
20200509,20200521,20200521,kfarbman-maintenance-20200509,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,119
20200505,20200511,20200511,Learnosity machine learning,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,118
20200504,20200508,20200508,Closes Thinkful-Ed/data-science#1137,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,117
20200428,20200503,20200503,Kfarbman maintenance 20200428,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,116
20200425,20200426,20200426,Kfarbman maintenance 20200425,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,115
20200420,20200424,20200424,Kfarbman maintenance 20200420,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,114
20200415,20200419,20200419,Kfarbman maintenance 20200414,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,113
20200403,20200405,20200404,Kfarbman maintenance 20200331,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,112
20200320,20200327,20200327,Close #998,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,111
20200312,20200313,20200313,Close #969,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,110
20200305,20200305,20200305,Update checkpoint,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,109
20200302,20200305,20200305,Kfarbman maintenance 20200301,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,108
20200131,20200131,20200131,Update instructions for PCA,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,107
20200131,20200131,20200131,Fix p-value explanation,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,106
20200130,20200130,20200130,Fix confidence interval equation rendering,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,105
20200130,20200130,20200130,Define features and targets,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,104
20200129,20200130,20200129,"Make statistical tests in Pandas prep ""optional""",https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,103
20200122,20200123,20200123,Fix typo,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,102
20200103,20200103,20200103,updated gradient boost metrics for easier understanding,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,101
20200103,20200103,20200103,added more detail on probability mass function,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,100
20200102,20200102,20200102,dataset correction,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,99
20191220,20191220,20191220,update JN with new link,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,98
20191219,20191219,20191219,Kfarbman maintenance 20191219,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,97
20191219,20191219,20191219,Close #731,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,96
20191218,20191218,20191218,Kfarbman maintenance 20191213,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,95
20191215,20191216,20191216,sql,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,94
20191215,20191216,20191216,Fix wording,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,93
20191212,20191212,20191212,Kfarbman maintenance 20191212,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,92
20191211,20191216,20191216,Fix wording,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,91
20191209,20191209,20191209,Kfarbman maintenance 20191203,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,90
20191208,20191210,20191210,Baolin thinkful data science,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,89
20191202,20191203,20191203,Kfarbman maintenance 20191202,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,88
20191127,20191127,20191127,Updating notebook,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,87
20191127,20191127,20191127,Kfarbman maintenance 20191125,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,86
20191127,20191127,20191127,Close #613,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,85
20191125,20191125,20191125,Kfarbman maintenance 20191121,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,84
20191118,20191118,20191118,Close #606,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,83
20191117,20191118,20191118,spelling fixes,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,82
20191117,20191118,20191118,changed the naming from numeric to integer values ,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,81
20191114,20191114,20191114,adding missing .pngs,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,80
20191114,20191114,20191114,Kfarbman maintenance 20191111,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,79
20191111,20200714,20191111,Baolin thinkful data science,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,78
20191106,20191106,20191106,rotation error fixed in model prep feature engineering 2,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,77
20191103,20191104,20191104,Close #562,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,76
20191101,20191101,20191101,adding gradient descent assets for classification module linear,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,75
20191031,20191101,20191101,Kfarbman maintenance 20191029,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,74
20191028,20191029,20191029,Kfarbman maintenance 20191024,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,73
20191022,20191102,20191023,Kfarbman maintenance 20191021,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,72
20191021,20191024,20191024,Kfarbman maintenance 20191019,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,71
20191018,20191018,20191018,Kfarbman maintenance 20191017,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,70
20191018,20191018,20191018,error in notebook- trying to fix,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,69
20191016,20191016,20191016,Kfarbman maintenance 20191015,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,68
20191014,20191015,20191015,Closes issue #502,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,67
20191010,20191010,20191010,Kfarbman maintenance 20191007,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,66
20191007,20191007,20191007,updating JNs,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,65
20191007,20191007,20191007,moving JNs to correct directory,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,64
20191007,20191007,20191007,Kfarbman maintenance 20191003,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,63
20191003,20191003,20191003,updating csv reference,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,62
20191003,20191003,20191003,New big data module,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,61
20191003,20191003,20191003,Close #418,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,60
20200812,20200812,20200812,Update random_forest_guided_example.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,159
20200807,20200810,20200810,Update model_prep_feature_engineering_2.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,158
20200803,20200804,20200804,Closes Thinkful-Ed/data-science#1408,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,157
20200730,20200730,20200730,Fix issue,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,156
20200729,20200729,20200729,Update 6.1.1 Intro to Time.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,155
20200724,20200727,20200727,Closes Thinkful-Ed/data-science#1369,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,154
20200724,20200807,20200805,Copyedit 0709,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,153
20200721,20200721,20200721,Update working_with_dictionaries.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,152
20200721,20200721,20200721,Update working_with_dictionaries.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,151
20200721,20200721,20200721,fixed conditional logic,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,150
20200716,20200716,20200716,Update model_prep_data_cleaning_variable_types.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,149
20200715,20200715,NaT,Update libraries,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,148
20200714,20200716,20200716,Update t_test_checkpoint_experimental_design_pima_demo.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,147
20200711,20200713,20200713,User issue 946,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,146
20200711,20200713,20200713,fixed execution error,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,145
20200708,20200708,20200708,Update checkpoint_4_beyond_a_b_testing.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,144
20200707,20200708,20200708,Update 8.text_generation.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,143
20200702,20200702,20200702,kick tires,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,142
20200629,20200706,20200706,Kfarbman maintenance20200629,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,141
20200625,20200629,20200629,Closes Thinkful-Ed/data-science#1294,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,140
20200625,20200706,20200706,deleted assign nb to transition to auto-assessments,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,139
20200623,20200629,20200629,added a multiclass dummies example,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,138
20200618,20200618,20200618,fix loading error,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,137
20200618,20200619,20200619,Update 5.2.2 Basic scraping with scrapy.ipynb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,136
20200617,20200619,20200619,Closes Thinkful-Ed/data-science#1261,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,135
20200616,20200619,20200619,updated both nb,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,134
20200616,20200616,20200616,"Revert ""updated SQL and intro pandas""",https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,133
20200616,20200616,20200616,"Revert ""updated SQL and intro pandas""",https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,132
20200612,20200615,20200615,Update checkpoint Beyond AB Test,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,131
20200611,20200615,20200615,Clearing up theta explanation,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,130
20200610,20200615,20200615,Kfarbman maintenance 20200610,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,129
20200610,20200615,20200615,Notifying about more details for PCA,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,128
20200609,20200615,20200615,updated model prep outliers notebook,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,127
20200609,20200629,20200629,updated jupyters for python intro and mods for da,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,126
20200603,20200615,20200615,Adding some more context when using get_dummies,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,125
20200601,20200615,20200615,Adding cross validation explanation,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,124
20200601,20200601,20200601,[Standard deviation/Variance] User-submitted feedback for DSBC-PYTHON…,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,123
20200601,20200615,20200615,Updating KNN regression notebook,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,122
20200601,20200603,20200603,Kfarbman maintenance 20200601,https://api.github.com/repos/Thinkful-Ed/jupyter-notebooks,121
